,Region,City,Plant,NumReactor,Latitude,Longitude
0,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.310320000000004,-93.231289
1,America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2,40.6219,-80.4339
2,America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1,45.358889000000005,-85.197222
3,America - Northern,UNITED STATES OF AMERICA,BONUS,1,18.366389,-67.26861099999999
4,America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2,41.2436,-88.2289
5,America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3,34.7042,-87.1186
6,America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2,33.9583,-78.0106
7,America - Northern,UNITED STATES OF AMERICA,BYRON,2,42.075,-89.2819
8,America - Northern,UNITED STATES OF AMERICA,CALLAWAY,1,38.7583,-91.7817
9,America - Northern,UNITED STATES OF AMERICA,CALVERT CLIFFS,2,38.4347,-76.4419
10,America - Northern,UNITED STATES OF AMERICA,CATAWBA,2,35.0514,-81.0694
11,America - Northern,UNITED STATES OF AMERICA,CLINTON,1,40.1719,-88.8342
12,America - Northern,UNITED STATES OF AMERICA,COLUMBIA,1,46.471111,-119.33388899999999
13,America - Northern,UNITED STATES OF AMERICA,COMANCHE PEAK,2,32.2978,-97.785
14,America - Northern,UNITED STATES OF AMERICA,COOPER,1,40.3619,-95.6411
15,America - Northern,UNITED STATES OF AMERICA,CRYSTAL RIVER,1,28.9572,-82.6989
16,America - Northern,UNITED STATES OF AMERICA,CVTR,1,34.2625,-81.329167
17,America - Northern,UNITED STATES OF AMERICA,DAVIS BESSE,1,41.5972,-83.0864
18,America - Northern,UNITED STATES OF AMERICA,DIABLO CANYON,2,35.2117,-120.854
19,America - Northern,UNITED STATES OF AMERICA,DONALD COOK,2,41.9761,-86.5664
20,America - Northern,UNITED STATES OF AMERICA,DRESDEN,3,41.3897,-88.2711
21,America - Northern,UNITED STATES OF AMERICA,DUANE ARNOLD,1,42.1006,-91.7772
22,America - Northern,UNITED STATES OF AMERICA,ELK RIVER,1,45.295171999999994,-93.5567
23,America - Northern,UNITED STATES OF AMERICA,ENRICO FERMI,3,41.9633,-83.2586
24,America - Northern,UNITED STATES OF AMERICA,FARLEY,2,31.2228,-85.1125
25,America - Northern,UNITED STATES OF AMERICA,FITZPATRICK,1,43.5239,-76.3983
26,America - Northern,UNITED STATES OF AMERICA,FORT CALHOUN,1,41.5208,-96.0767
27,America - Northern,UNITED STATES OF AMERICA,FORT ST. VRAIN,1,40.244444,-104.87416699999999
28,America - Northern,UNITED STATES OF AMERICA,GRAND GULF,1,32.0075,-91.0481
29,America - Northern,UNITED STATES OF AMERICA,H.B. ROBINSON,1,34.4053,-80.1586
30,America - Northern,UNITED STATES OF AMERICA,HADDAM NECK,1,41.481944,-72.499167
31,America - Northern,UNITED STATES OF AMERICA,HALLAM,1,40.55925,-96.784711
32,America - Northern,UNITED STATES OF AMERICA,HATCH,2,31.9342,-82.3444
33,America - Northern,UNITED STATES OF AMERICA,HOPE CREEK,1,39.4678,-75.5381
34,America - Northern,UNITED STATES OF AMERICA,HUMBOLDT BAY,1,40.741322,-124.20904399999999
35,America - Northern,UNITED STATES OF AMERICA,INDIAN POINT,3,41.2714,-73.9525
36,America - Northern,UNITED STATES OF AMERICA,KEWAUNEE,1,44.3431,-87.5361
37,America - Northern,UNITED STATES OF AMERICA,LACROSSE,1,43.560062,-91.23148499999999
38,America - Northern,UNITED STATES OF AMERICA,LASALLE,2,41.2439,-88.6708
39,America - Northern,UNITED STATES OF AMERICA,LIMERICK,2,40.226339,-75.586916
40,America - Northern,UNITED STATES OF AMERICA,MAINE YANKEE,1,43.954023,-69.69449399999999
41,America - Northern,UNITED STATES OF AMERICA,MCGUIRE,2,35.4322,-80.9483
42,America - Northern,UNITED STATES OF AMERICA,MILLSTONE,3,41.3086,-72.1681
43,America - Northern,UNITED STATES OF AMERICA,MONTICELLO,1,45.3333,-93.8483
44,America - Northern,UNITED STATES OF AMERICA,NINE MILE POINT,2,43.5222,-76.41
45,America - Northern,UNITED STATES OF AMERICA,NORTH ANNA,2,38.0608,-77.7906
46,America - Northern,UNITED STATES OF AMERICA,OCONEE,3,34.7917,-82.8986
47,America - Northern,UNITED STATES OF AMERICA,OYSTER CREEK,1,39.8142,-74.2064
48,America - Northern,UNITED STATES OF AMERICA,PALISADES,1,42.3222,-86.3153
49,America - Northern,UNITED STATES OF AMERICA,PALO VERDE,3,33.3897,-112.86200000000001
50,America - Northern,UNITED STATES OF AMERICA,PATHFINDER,1,43.603611,-96.6375
51,America - Northern,UNITED STATES OF AMERICA,PEACH BOTTOM,3,39.7589,-76.2692
52,America - Northern,UNITED STATES OF AMERICA,PERRY,1,41.8011,-81.1433
53,America - Northern,UNITED STATES OF AMERICA,PILGRIM,1,41.9444,-70.5794
54,America - Northern,UNITED STATES OF AMERICA,PIQUA,1,40.132317,-84.234767
55,America - Northern,UNITED STATES OF AMERICA,POINT BEACH,2,44.2808,-87.5361
56,America - Northern,UNITED STATES OF AMERICA,PRAIRIE ISLAND,2,44.6194,-92.6331
57,America - Northern,UNITED STATES OF AMERICA,QUAD CITIES,2,41.7261,-90.31
58,America - Northern,UNITED STATES OF AMERICA,R.E. GINNA,1,43.277653,-77.30925400000001
59,America - Northern,UNITED STATES OF AMERICA,RANCHO SECO-1,1,38.345278,-121.12166699999999
60,America - Northern,UNITED STATES OF AMERICA,RIVER BEND,1,30.7572,-91.3317
61,America - Northern,UNITED STATES OF AMERICA,SALEM,2,39.4628,-75.5358
62,America - Northern,UNITED STATES OF AMERICA,SAN ONOFRE,3,33.3703,-117.557
63,America - Northern,UNITED STATES OF AMERICA,SAXTON,1,40.226944,-78.24194399999999
64,America - Northern,UNITED STATES OF AMERICA,SEABROOK,1,42.8981,-70.8514
65,America - Northern,UNITED STATES OF AMERICA,SEQUOYAH,2,35.2233,-85.0878
66,America - Northern,UNITED STATES OF AMERICA,SHEARON HARRIS,1,35.6333,-78.9561
67,America - Northern,UNITED STATES OF AMERICA,SHIPPINGPORT,1,40.621111,-80.435278
68,America - Northern,UNITED STATES OF AMERICA,SHOREHAM,1,40.961110999999995,-72.865
69,America - Northern,UNITED STATES OF AMERICA,SOUTH TEXAS,2,28.795,-96.0481
70,America - Northern,UNITED STATES OF AMERICA,ST. LUCIE,2,27.3486,-80.2464
71,America - Northern,UNITED STATES OF AMERICA,SURRY,2,37.1656,-76.6983
72,America - Northern,UNITED STATES OF AMERICA,SUSQUEHANNA,2,41.0917,-76.1486
73,America - Northern,UNITED STATES OF AMERICA,THREE MILE ISLAND,2,40.1531,-76.725
74,America - Northern,UNITED STATES OF AMERICA,TROJAN,1,46.038333,-122.885
75,America - Northern,UNITED STATES OF AMERICA,TURKEY POINT,2,25.435,-80.3314
76,America - Northern,UNITED STATES OF AMERICA,VALLECITOS,1,37.613267,-121.84016399999999
77,America - Northern,UNITED STATES OF AMERICA,VERMONT YANKEE,1,42.7803,-72.5158
78,America - Northern,UNITED STATES OF AMERICA,VIRGIL C. SUMMER,1,34.2958,-81.3203
79,America - Northern,UNITED STATES OF AMERICA,VOGTLE,2,33.1419,-81.7647
80,America - Northern,UNITED STATES OF AMERICA,WATERFORD,1,29.995,-90.4711
81,America - Northern,UNITED STATES OF AMERICA,WATTS BAR,2,35.6028,-84.7903
82,America - Northern,UNITED STATES OF AMERICA,WOLF CREEK,1,38.2389,-95.6889
83,America - Northern,UNITED STATES OF AMERICA,YANKEE,1,42.727839,-72.929108
84,America - Northern,UNITED STATES OF AMERICA,ZION,2,42.446428000000004,-87.803003
