Region,Urban land 2010,Increase in percent urban land 2000-2010,Percent increase in urban land 2000-2010,Urban land area growth 2000-2010
,Percent,Percent,Percent,Acres
Northeast,10.7,1.1,11.3,"1,664,100"
Southeast,9.4,2.1,28,"3,046,000"
Pacific Southwest,5.3,0.3,5.4,"283,000"
North Central,4.1,0.5,13.1,"1,237,800"
South Central,3.4,0.6,23.3,"2,509,600"
Rocky Mountain,0.8,0.2,25.8,"944,800"
Great Plains,0.6,0.1,17.7,"183,500"
Pacific Northwest,0.5,0.1,11.4,"244,500"
Total,3,0.4,17.5,"10,113,300"